Entity,Buy/Sell,AgreedFx,Currency,InstructionDate,SettlementDate,Units,Price per unit
foo,B,0.5,SGP,01 Jan 2016,04 Jan 2016,200,100.25
bar,S,0.22,AED,01 Jan 2016,07 Jan 2016,450,150.5
sbi,B,0.40,INR,01 Jan 2016,04 Jan 2016,500,252.50
jpmc,S,1.0,USD,01 Jan 2016,04 Jan 2016,550,82.5
socgen,B,0.50,EUR,01 Jan 2016,04 Jan 2016,300,200.25
citi,S,0.50,EUR,01 Jan 2016,04 Jan 2016,45,1500.5
jpm,B,1.0,INR,22 Oct 2017,23 Oct 2017,1500,252.50
moody,S,1.0,USD,22 Oct 2017,23 Oct 2017,5050,82.5
fitch,B,0.50,EUR,22 Oct 2017,23 Oct 2017,300,200.25
boa,S,1.50,EUR,22 Oct 2017,23 Oct 2017,145,1700.5
